episode,total_reward,steps,eps
239,2.0,9,0.3017979588795719
240,5.0,6,0.30028896908517405
241,5.0,6,0.2987875242397482
242,1.0,10,0.29729358661854943
243,5.0,6,0.29580711868545667
244,4.0,7,0.2943280830920294
245,5.0,6,0.29285644267656924
246,5.0,6,0.2913921604631864
247,2.0,9,0.28993519966087045
248,5.0,6,0.2884855236625661
249,1.0,10,0.28704309604425327
250,5.0,6,0.285607880564032
251,5.0,6,0.28417984116121187
252,5.0,6,0.2827589419554058
253,0.0,11,0.28134514724562876
254,4.0,7,0.2799384215094006
255,3.0,8,0.27853872940185365
256,5.0,6,0.27714603575484437
257,1.0,10,0.2757603055760701
258,3.0,8,0.2743815040481898
259,1.0,10,0.2730095965279488
260,4.0,7,0.27164454854530906
261,5.0,6,0.2702863258025825
262,5.0,6,0.2689348941735696
263,-2.0,13,0.26759021970270175
264,5.0,6,0.2662522686041882
265,5.0,6,0.2649210072611673
266,3.0,8,0.26359640222486147
267,2.0,9,0.26227842021373715
268,3.0,8,0.2609670281126685
269,-1.0,12,0.25966219297210513
270,5.0,6,0.2583638820072446
271,5.0,6,0.2570720625972084
272,5.0,6,0.25578670228422234
273,0.0,11,0.25450776877280124
274,2.0,9,0.2532352299289372
275,2.0,9,0.2519690537792925
276,-2.0,13,0.2507092085103961
277,5.0,6,0.2494556624678441
278,1.0,10,0.24820838415550486
279,5.0,6,0.24696734223472733
280,5.0,6,0.2457325055235537
281,5.0,6,0.24450384299593592
282,3.0,8,0.24328132378095624
283,1.0,10,0.24206491716205145
284,5.0,6,0.2408545925762412
285,3.0,8,0.23965031961336
286,5.0,6,0.2384520680152932
287,5.0,6,0.23725980767521673
288,3.0,8,0.23607350863684065
289,5.0,6,0.23489314109365644
290,4.0,7,0.23371867538818816
291,5.0,6,0.23255008201124722
292,2.0,9,0.231387331601191
293,3.0,8,0.23023039494318503
294,-1.0,12,0.2290792429684691
295,5.0,6,0.22793384675362674
296,3.0,8,0.22679417751985861
297,5.0,6,0.22566020663225933
298,5.0,6,0.22453190559909803
299,5.0,6,0.22340924607110255
300,3.0,8,0.22229219984074702
301,0.0,11,0.2211807388415433
302,2.0,9,0.22007483514733558
303,2.0,9,0.2189744609715989
304,5.0,6,0.2178795886667409
305,4.0,7,0.2167901907234072
306,5.0,6,0.21570623976979014
307,5.0,6,0.21462770857094118
308,1.0,10,0.21355457002808648
309,5.0,6,0.21248679717794605
310,5.0,6,0.21142436319205632
311,5.0,6,0.21036724137609603
312,5.0,6,0.20931540516921554
313,5.0,6,0.20826882814336947
314,5.0,6,0.20722748400265262
315,5.0,6,0.20619134658263935
316,2.0,9,0.20516038984972615
317,5.0,6,0.2041345879004775
318,1.0,10,0.2031139149609751
319,5.0,6,0.20209834538617025
320,0.0,11,0.2010878536592394
321,3.0,8,0.2000824143909432
322,1.0,10,0.19908200231898848
323,4.0,7,0.19808659230739353
324,5.0,6,0.19709615934585656
325,5.0,6,0.19611067854912728
326,5.0,6,0.19513012515638165
327,5.0,6,0.19415447453059972
328,1.0,10,0.19318370215794672
329,5.0,6,0.192217783647157
330,5.0,6,0.1912566947289212
331,5.0,6,0.1903004112552766
332,3.0,8,0.18934890919900021
333,5.0,6,0.18840216465300522
334,5.0,6,0.18746015382974018
335,5.0,6,0.1865228530605915
336,3.0,8,0.18559023879528855
337,3.0,8,0.1846622876013121
338,5.0,6,0.18373897616330553
339,5.0,6,0.182820281282489
340,1.0,10,0.18190617987607657
341,5.0,6,0.18099664897669618
342,1.0,10,0.1800916657318127
343,5.0,6,0.17919120740315364
344,4.0,7,0.17829525136613786
345,5.0,6,0.17740377510930716
346,4.0,7,0.17651675623376062
347,-3.0,14,0.1756341724525918
348,5.0,6,0.17475600159032884
349,4.0,7,0.17388222158237718
350,5.0,6,0.1730128104744653
351,5.0,6,0.17214774642209296
352,5.0,6,0.1712870076899825
353,5.0,6,0.17043057265153258
354,4.0,7,0.16957841978827493
355,5.0,6,0.16873052768933355
356,5.0,6,0.1678868750508869
357,5.0,6,0.16704744067563246
358,3.0,8,0.1662122034722543
359,2.0,9,0.16538114245489302
360,3.0,8,0.16455423674261854
361,5.0,6,0.16373146555890544
362,5.0,6,0.16291280823111093
363,4.0,7,0.16209824418995536
364,5.0,6,0.16128775296900558
365,3.0,8,0.16048131420416054
366,5.0,6,0.15967890763313974
367,5.0,6,0.15888051309497406
368,4.0,7,0.1580861105294992
369,0.0,11,0.1572956799768517
370,5.0,6,0.15650920157696743
371,2.0,9,0.1557266555690826
372,3.0,8,0.1549480222912372
373,5.0,6,0.15417328217978102
374,5.0,6,0.1534024157688821
375,5.0,6,0.1526354036900377
376,5.0,6,0.1518722266715875
377,3.0,8,0.15111286553822956
378,3.0,8,0.15035730121053842
379,5.0,6,0.14960551470448571
380,3.0,8,0.14885748713096328
381,5.0,6,0.14811319969530845
382,5.0,6,0.1473726336968319
383,5.0,6,0.14663577052834775
384,5.0,6,0.14590259167570602
385,5.0,6,0.1451730787173275
386,3.0,8,0.14444721332374086
387,3.0,8,0.14372497725712216
388,0.0,11,0.14300635237083656
389,5.0,6,0.14229132060898236
